image_id,density,gray,threshold,dice,iou,n_true,n_detected,count_err
val_000,sparse,luma,0.1092,0.9767801857585139,0.9546142208774584,5,5,0
val_000,sparse,blue,0.3171,0.9760247486465584,0.9531722054380665,5,5,0
val_001,normal,luma,0.1429,0.9702589618907611,0.9422358884252141,31,24,-7
val_001,normal,blue,0.416,0.969284823756092,0.9404002639102705,31,24,-7
val_002,normal,luma,0.128,0.9790510295434198,0.9589617678007717,17,16,-1
val_002,normal,blue,0.3691,0.9797454740993009,0.9602951510892481,17,16,-1
val_003,normal,luma,0.1402,0.9730652222304668,0.9475433526011561,36,27,-9
val_003,normal,blue,0.4043,0.9730652222304668,0.9475433526011561,36,27,-9
val_004,dense,luma,0.1321,0.9692712906057945,0.9403747870528109,81,40,-41
val_004,dense,blue,0.3926,0.9682667587582978,0.9384855697709015,81,40,-41
val_005,clustered,luma,0.1375,0.96199985633216,0.9267820069204152,48,15,-33
val_005,clustered,blue,0.4043,0.9611978979195163,0.9252945252945253,48,15,-33
val_006,sparse,luma,0.1321,0.9702346880366343,0.9421901056142301,9,8,-1
val_006,sparse,blue,0.3848,0.9707903780068728,0.9432387312186978,9,8,-1
val_007,normal,luma,0.1294,0.9734859602778593,0.94834159359512,29,19,-10
val_007,normal,blue,0.377,0.9735863823126589,0.9485322150209684,29,19,-10
val_008,normal,luma,0.1321,0.9805899143672693,0.9619189845062535,25,21,-4
val_008,normal,blue,0.3926,0.9799273561460524,0.9606446776611695,25,21,-4
val_009,normal,luma,0.1321,0.9722765818656229,0.9460488733735322,20,20,0
val_009,normal,blue,0.3809,0.9722765818656229,0.9460488733735322,20,20,0
val_010,dense,luma,0.1321,0.9691216468455016,0.9400931195033626,64,43,-21
val_010,dense,blue,0.3848,0.9682073203312851,0.9383738995339203,64,43,-21
val_011,clustered,luma,0.1321,0.9792989884733004,0.9594376584466467,32,14,-18
val_011,clustered,blue,0.3848,0.9792892445281243,0.9594189531934517,32,14,-18
val_012,sparse,luma,0.1321,0.9724057520404198,0.9462934947049925,8,8,0
val_012,sparse,blue,0.3926,0.9734582357533177,0.9482889733840304,8,8,0
val_013,normal,luma,0.1321,0.971884840305893,0.945307372566178,27,24,-3
val_013,normal,blue,0.3848,0.9712611292685676,0.944127957931639,27,24,-3
val_014,normal,luma,0.128,0.9751149899752329,0.9514384349827388,21,16,-5
val_014,normal,blue,0.373,0.975500059178601,0.9521719038817006,21,16,-5
val_015,normal,luma,0.1294,0.973627238732533,0.9486097794822627,26,21,-5
val_015,normal,blue,0.373,0.9743539353444041,0.9499904196206169,26,21,-5
val_016,dense,luma,0.1429,0.9755480180225788,0.9522632931409369,62,36,-26
val_016,dense,blue,0.416,0.9753005021047827,0.9517917244110077,62,36,-26
val_017,clustered,luma,0.1429,0.9758374969284954,0.9528150991682661,49,19,-30
val_017,clustered,blue,0.4121,0.9757496313288546,0.952647576387778,49,19,-30
val_018,sparse,luma,0.1321,0.9752066115702479,0.9516129032258065,7,7,0
val_018,sparse,blue,0.3848,0.9747829681686647,0.9508064516129032,7,7,0
val_019,normal,luma,0.1321,0.9708621207569841,0.9433741973146527,19,18,-1
val_019,normal,blue,0.3809,0.9708621207569841,0.9433741973146527,19,18,-1
