image_id,otsu_dice,otsu_iou,unet_dice,unet_iou,delta,n_otsu,n_unet,density,n_objects
val_000,0.9768,0.9546,0.9938,0.9876,0.017,5,5,sparse,5
val_001,0.9703,0.9422,0.9933,0.9866,0.023,24,26,normal,31
val_002,0.9791,0.959,0.9977,0.9954,0.0186,16,16,normal,17
val_003,0.9731,0.9475,0.9952,0.9905,0.0221,27,28,normal,36
val_004,0.9693,0.9404,0.9953,0.9906,0.026,40,45,dense,81
val_005,0.962,0.9268,0.9947,0.9894,0.0327,15,18,clustered,48
val_006,0.9702,0.9422,0.994,0.9881,0.0238,8,8,sparse,9
val_007,0.9735,0.9483,0.9962,0.9924,0.0227,19,20,normal,29
val_008,0.9806,0.9619,0.997,0.9939,0.0164,21,21,normal,25
val_009,0.9723,0.946,0.9942,0.9884,0.0219,20,20,normal,20
val_010,0.9691,0.9401,0.9957,0.9914,0.0265,43,43,dense,64
val_011,0.9793,0.9594,0.9963,0.9926,0.017,14,14,clustered,32
val_012,0.9724,0.9463,0.9906,0.9814,0.0182,8,8,sparse,8
val_013,0.9719,0.9453,0.9954,0.9909,0.0235,24,25,normal,27
val_014,0.9751,0.9514,0.9949,0.9899,0.0198,16,17,normal,21
val_015,0.9736,0.9486,0.9925,0.9851,0.0189,21,21,normal,26
val_016,0.9755,0.9523,0.9941,0.9882,0.0185,36,39,dense,62
val_017,0.9758,0.9528,0.9946,0.9892,0.0187,19,19,clustered,49
val_018,0.9752,0.9516,0.9902,0.9805,0.015,7,7,sparse,7
val_019,0.9709,0.9434,0.9973,0.9947,0.0265,18,19,normal,19
