image_id,n_objects,mean_area,density_class,quality_flag,n_objects_split,mean_solidity,mean_eccentricity,foreground_fraction,mean_intensity,dice_vs_gt,iou_vs_gt,llm_json_parsed,n_repairs,generator,narrative,n_objects_true,density_true,area_fraction_true
test_000,8,192.9,sparse,ok,8,0.969,0.634,0.0235,0.226,0.9951,0.9903,True,0,offline_stub,"Segmentation of test_000 produced 8 connected objects occupying 0.024 of the 256x256 field, which the pipeline classes as 'sparse'. Mean object area is 192.9 px (range 59-429 px), and mean solidity is 0.969. Objects are compact and near-circular with mean eccentricity 0.63; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",8,sparse,0.023406982421875
test_001,14,202.3,sparse,ok,16,0.948,0.64,0.0432,0.233,0.9918,0.9838,True,0,offline_stub,"Segmentation of test_001 produced 14 connected objects occupying 0.043 of the 256x256 field, which the pipeline classes as 'sparse'. Mean object area is 202.3 px (range 61-626 px), and mean solidity is 0.948. Objects are compact and near-circular with mean eccentricity 0.64; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",19,normal,0.04266357421875
test_002,26,220.5,normal,ok,30,0.946,0.673,0.0875,0.239,0.9959,0.9918,True,0,offline_stub,"Segmentation of test_002 produced 26 connected objects occupying 0.087 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 220.5 px (range 52-511 px), and mean solidity is 0.946. Objects are moderately elongated with mean eccentricity 0.67; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",31,normal,0.0869903564453125
test_003,19,205.6,normal,ok,20,0.965,0.695,0.0596,0.254,0.9924,0.9849,True,0,offline_stub,"Segmentation of test_003 produced 19 connected objects occupying 0.060 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 205.6 px (range 63-508 px), and mean solidity is 0.965. Objects are moderately elongated with mean eccentricity 0.69; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",21,normal,0.05877685546875
test_004,43,329.9,dense,ok,61,0.93,0.659,0.2165,0.252,0.9956,0.9912,True,0,offline_stub,"Segmentation of test_004 produced 43 connected objects occupying 0.216 of the 256x256 field, which the pipeline classes as 'dense'. Mean object area is 329.9 px (range 65-1326 px), and mean solidity is 0.930. Objects are moderately elongated with mean eccentricity 0.66; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",75,dense,0.2163543701171875
test_005,16,407.9,normal,ok,24,0.932,0.638,0.0996,0.247,0.9962,0.9925,True,0,offline_stub,"Segmentation of test_005 produced 16 connected objects occupying 0.100 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 407.9 px (range 67-2058 px), and mean solidity is 0.932. Objects are compact and near-circular with mean eccentricity 0.64; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",49,clustered,0.099578857421875
test_006,8,200.0,sparse,ok,8,0.966,0.614,0.0244,0.27,0.9931,0.9863,True,0,offline_stub,"Segmentation of test_006 produced 8 connected objects occupying 0.024 of the 256x256 field, which the pipeline classes as 'sparse'. Mean object area is 200.0 px (range 77-318 px), and mean solidity is 0.966. Objects are compact and near-circular with mean eccentricity 0.61; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",8,sparse,0.02410888671875
test_007,23,207.1,normal,ok,27,0.943,0.652,0.0727,0.246,0.9955,0.991,True,0,offline_stub,"Segmentation of test_007 produced 23 connected objects occupying 0.073 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 207.1 px (range 60-591 px), and mean solidity is 0.943. Objects are moderately elongated with mean eccentricity 0.65; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",30,normal,0.0724334716796875
test_008,23,241.0,normal,ok,28,0.947,0.598,0.0846,0.244,0.9973,0.9946,True,0,offline_stub,"Segmentation of test_008 produced 23 connected objects occupying 0.085 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 241.0 px (range 53-1027 px), and mean solidity is 0.947. Objects are compact and near-circular with mean eccentricity 0.60; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",28,normal,0.0842742919921875
test_009,21,180.5,normal,ok,22,0.959,0.61,0.0578,0.238,0.9922,0.9845,True,0,offline_stub,"Segmentation of test_009 produced 21 connected objects occupying 0.058 of the 256x256 field, which the pipeline classes as 'normal'. Mean object area is 180.5 px (range 80-425 px), and mean solidity is 0.959. Objects are compact and near-circular with mean eccentricity 0.61; where solidity falls below 0.95 the object may be a merger of touching nuclei rather than a single one, which is uncertain from these measurements alone. The quality flag is 'ok'. Automated description for educational use only; not a clinical interpretation.",24,normal,0.0571441650390625
